[8.535s][info][gc,mmu       ] GC(18) MMU target violated: 201.0ms (200.0ms/201.0ms)
[8.536s][info][gc,phases    ] GC(18)   Pre Evacuate Collection Set: 0.1ms
[8.536s][info][gc,phases    ] GC(18)   Evacuate Collection Set: 439.5ms
[8.536s][info][gc,phases    ] GC(18)   Post Evacuate Collection Set: 15.3ms
[8.536s][info][gc,phases    ] GC(18)   Other: 0.5ms
[8.536s][info][gc,heap      ] GC(18) Eden regions: 147->0(147)
[8.536s][info][gc,heap      ] GC(18) Survivor regions: 21->21(21)
[8.536s][info][gc,heap      ] GC(18) Old regions: 1079->1207
[8.536s][info][gc,heap      ] GC(18) Archive regions: 0->0
[8.536s][info][gc,heap      ] GC(18) Humongous regions: 0->0
[8.536s][info][gc,metaspace ] GC(18) Metaspace: 203K->203K(1056768K)
[8.536s][info][gc           ] GC(18) Pause Young (Normal) (G1 Evacuation Pause) 1247M->1228M(3369M) 455.611ms
[8.536s][info][gc,cpu       ] GC(18) User=3.11s Sys=0.06s Real=0.46s
[8.943s][info][gc,start     ] GC(19) Pause Young (Normal) (G1 Evacuation Pause)
[8.943s][info][gc,task      ] GC(19) Using 8 workers of 8 for evacuation
[9.395s][info][gc,mmu       ] GC(19) MMU target violated: 201.0ms (200.0ms/201.0ms)
[9.396s][info][gc,phases    ] GC(19)   Pre Evacuate Collection Set: 0.1ms
[9.396s][info][gc,phases    ] GC(19)   Evacuate Collection Set: 438.5ms
[9.396s][info][gc,phases    ] GC(19)   Post Evacuate Collection Set: 13.2ms
[9.396s][info][gc,phases    ] GC(19)   Other: 0.6ms
[9.396s][info][gc,heap      ] GC(19) Eden regions: 147->0(147)
[9.396s][info][gc,heap      ] GC(19) Survivor regions: 21->21(21)
[9.396s][info][gc,heap      ] GC(19) Old regions: 1207->1335
[9.396s][info][gc,heap      ] GC(19) Archive regions: 0->0
[9.396s][info][gc,heap      ] GC(19) Humongous regions: 0->0
[9.396s][info][gc,metaspace ] GC(19) Metaspace: 203K->203K(1056768K)
[9.396s][info][gc           ] GC(19) Pause Young (Normal) (G1 Evacuation Pause) 1375M->1355M(3369M) 452.521ms
[9.396s][info][gc,cpu       ] GC(19) User=3.30s Sys=0.03s Real=0.45s
[9.807s][info][gc,start     ] GC(20) Pause Young (Normal) (G1 Evacuation Pause)
[9.807s][info][gc,task      ] GC(20) Using 8 workers of 8 for evacuation
[10.266s][info][gc,mmu       ] GC(20) MMU target violated: 201.0ms (200.0ms/201.0ms)
[10.266s][info][gc,phases    ] GC(20)   Pre Evacuate Collection Set: 0.1ms
[10.266s][info][gc,phases    ] GC(20)   Evacuate Collection Set: 439.4ms
[10.266s][info][gc,phases    ] GC(20)   Post Evacuate Collection Set: 19.3ms
[10.266s][info][gc,phases    ] GC(20)   Other: 0.5ms
[10.266s][info][gc,heap      ] GC(20) Eden regions: 147->0(161)
[10.266s][info][gc,heap      ] GC(20) Survivor regions: 21->21(21)
[10.266s][info][gc,heap      ] GC(20) Old regions: 1335->1463
[10.267s][info][gc,heap      ] GC(20) Archive regions: 0->0
[10.267s][info][gc,heap      ] GC(20) Humongous regions: 0->0
[10.267s][info][gc,metaspace ] GC(20) Metaspace: 203K->203K(1056768K)
[10.267s][info][gc           ] GC(20) Pause Young (Normal) (G1 Evacuation Pause) 1502M->1483M(3655M) 459.452ms
[10.267s][info][gc,cpu       ] GC(20) User=3.09s Sys=0.06s Real=0.46s
[10.761s][info][gc,start     ] GC(21) Pause Young (Normal) (G1 Evacuation Pause)
[10.761s][info][gc,task      ] GC(21) Using 8 workers of 8 for evacuation
[11.261s][info][gc,mmu       ] GC(21) MMU target violated: 201.0ms (200.0ms/201.0ms)
[11.261s][info][gc,phases    ] GC(21)   Pre Evacuate Collection Set: 0.1ms
[11.261s][info][gc,phases    ] GC(21)   Evacuate Collection Set: 483.7ms
[11.261s][info][gc,phases    ] GC(21)   Post Evacuate Collection Set: 15.8ms
[11.261s][info][gc,phases    ] GC(21)   Other: 0.5ms
[11.261s][info][gc,heap      ] GC(21) Eden regions: 161->0(159)
[11.261s][info][gc,heap      ] GC(21) Survivor regions: 21->23(23)
[11.261s][info][gc,heap      ] GC(21) Old regions: 1463->1603
[11.261s][info][gc,heap      ] GC(21) Archive regions: 0->0
[11.261s][info][gc,heap      ] GC(21) Humongous regions: 0->0
[11.261s][info][gc,metaspace ] GC(21) Metaspace: 203K->203K(1056768K)
[11.261s][info][gc           ] GC(21) Pause Young (Normal) (G1 Evacuation Pause) 1644M->1625M(3655M) 500.343ms
[11.261s][info][gc,cpu       ] GC(21) User=3.55s Sys=0.13s Real=0.50s
[11.696s][info][gc,start     ] GC(22) Pause Young (Normal) (G1 Evacuation Pause)
[11.696s][info][gc,task      ] GC(22) Using 8 workers of 8 for evacuation
[12.189s][info][gc,mmu       ] GC(22) MMU target violated: 201.0ms (200.0ms/201.0ms)
[12.189s][info][gc,phases    ] GC(22)   Pre Evacuate Collection Set: 0.1ms
[12.189s][info][gc,phases    ] GC(22)   Evacuate Collection Set: 476.9ms
[12.189s][info][gc,phases    ] GC(22)   Post Evacuate Collection Set: 14.7ms
[12.189s][info][gc,phases    ] GC(22)   Other: 0.5ms
[12.189s][info][gc,heap      ] GC(22) Eden regions: 159->0(159)
[12.189s][info][gc,heap      ] GC(22) Survivor regions: 23->23(23)
[12.189s][info][gc,heap      ] GC(22) Old regions: 1603->1740
[12.189s][info][gc,heap      ] GC(22) Archive regions: 0->0
[12.189s][info][gc,heap      ] GC(22) Humongous regions: 0->0
[12.189s][info][gc,metaspace ] GC(22) Metaspace: 203K->203K(1056768K)
[12.189s][info][gc           ] GC(22) Pause Young (Normal) (G1 Evacuation Pause) 1784M->1762M(3655M) 492.389ms
[12.189s][info][gc,cpu       ] GC(22) User=3.11s Sys=0.16s Real=0.49s
[12.630s][info][gc,start     ] GC(23) Pause Young (Concurrent Start) (G1 Evacuation Pause)
[12.630s][info][gc,task      ] GC(23) Using 8 workers of 8 for evacuation
[13.119s][info][gc,mmu       ] GC(23) MMU target violated: 201.0ms (200.0ms/201.0ms)
[13.119s][info][gc,phases    ] GC(23)   Pre Evacuate Collection Set: 0.1ms
[13.119s][info][gc,phases    ] GC(23)   Evacuate Collection Set: 473.1ms
[13.119s][info][gc,phases    ] GC(23)   Post Evacuate Collection Set: 14.9ms
[13.119s][info][gc,phases    ] GC(23)   Other: 0.7ms
[13.119s][info][gc,heap      ] GC(23) Eden regions: 159->0(159)
[13.119s][info][gc,heap      ] GC(23) Survivor regions: 23->23(23)
[13.119s][info][gc,heap      ] GC(23) Old regions: 1740->1877
[13.119s][info][gc,heap      ] GC(23) Archive regions: 0->0
[13.119s][info][gc,heap      ] GC(23) Humongous regions: 0->0
[13.119s][info][gc,metaspace ] GC(23) Metaspace: 203K->203K(1056768K)
